SquareFootage,Bedrooms,Location,Price
2351,3,Urban,237250000
1889,5,Suburb,189150000
2480,4,Rural,248200000
961,4,Urban,98300000
1249,2,Suburb,125000000
2297,5,Rural,229950000
1836,2,Suburb,183700000
2958,2,Rural,295900000
2750,5,Rural,275250000
2113,4,Rural,211500000
2038,4,Urban,206000000
1773,3,Suburb,177450000
1431,5,Suburb,143350000
2390,2,Urban,241100000
1850,5,Urban,187250000
2388,2,Suburb,238900000
2493,3,Urban,251450000
1236,3,Urban,125750000
2356,3,Suburb,235750000
1876,3,Rural,187750000
2104,2,Urban,212500000
2878,4,Suburb,288000000
982,2,Suburb,98300000
2269,3,Suburb,227050000
2279,4,Urban,230100000
2389,5,Rural,239150000
2387,2,Rural,238800000
1459,5,Suburb,146150000
959,3,Urban,98050000
1811,5,Urban,183350000
852,4,Rural,85400000
1845,4,Rural,184700000
1853,4,Urban,187500000
2028,2,Rural,202900000
2294,5,Suburb,229650000
2289,5,Rural,229150000
1835,5,Urban,185750000
2750,3,Suburb,275150000
1649,2,Urban,167000000
1153,2,Rural,115400000
1898,5,Rural,190050000
2539,2,Suburb,254000000
2264,5,Suburb,226650000
1790,5,Suburb,179250000
2064,5,Suburb,206650000
2684,4,Rural,268600000
2609,3,Urban,263050000
1911,2,Rural,191200000
1617,3,Rural,161850000
2599,4,Suburb,260100000
2760,2,Suburb,276100000
1688,5,Urban,171050000
2655,3,Urban,267650000
1980,4,Rural,198200000
1467,2,Urban,148800000
1432,2,Suburb,143300000
2442,3,Suburb,244350000
936,3,Suburb,93750000
2746,2,Rural,274700000
2497,2,Urban,251800000
1227,4,Suburb,122900000
2275,5,Rural,227750000
1618,5,Rural,162050000
2988,4,Rural,299000000
1906,2,Urban,192700000
997,3,Urban,101850000
2795,3,Urban,281650000
1270,2,Rural,127100000
2748,4,Rural,275000000
1728,2,Urban,174900000
2810,3,Suburb,281150000
1705,2,Urban,172600000
822,2,Rural,82300000
1034,4,Rural,103600000
1924,5,Rural,192650000
1728,3,Rural,172950000
1322,3,Rural,132350000
2608,2,Rural,260900000
1230,3,Urban,125150000
1592,3,Rural,159350000
2429,5,Rural,243150000
2536,3,Rural,253750000
1332,3,Rural,133350000
2546,4,Rural,254800000
2475,4,Suburb,247700000
2116,4,Urban,213800000
1712,4,Urban,173400000
1924,4,Suburb,192600000
2325,5,Suburb,232750000
2127,3,Rural,212850000
1823,2,Urban,184400000
2376,5,Urban,239850000
2178,2,Suburb,217900000
2319,4,Urban,234100000
2481,3,Urban,250250000
2797,4,Rural,279900000
1026,5,Rural,102850000
2059,2,Rural,206000000
1672,3,Urban,169350000
1691,5,Urban,171350000
2278,5,Rural,228050000
1836,3,Rural,183750000
1196,3,Urban,121750000
1923,5,Urban,194550000
2878,2,Suburb,287900000
1448,2,Rural,144900000
1128,5,Rural,113050000
2282,5,Rural,228450000
1751,4,Urban,177300000
2805,4,Urban,282700000
2816,2,Suburb,281700000
2678,4,Suburb,268000000
1996,2,Rural,199700000
2572,3,Suburb,257350000
961,4,Urban,98300000
2551,2,Suburb,255200000
1575,2,Suburb,157600000
2627,5,Urban,264950000
1851,2,Rural,185200000
1739,4,Rural,174100000
1339,5,Suburb,134150000
1621,5,Urban,164350000
2261,4,Urban,228300000
1888,3,Suburb,188950000
1155,4,Rural,115700000
1034,4,Rural,103600000
2348,5,Rural,235050000
2896,4,Urban,291800000
917,3,Urban,93850000
2901,3,Urban,292250000
2473,3,Rural,247450000
1867,5,Suburb,186950000
2900,4,Urban,292200000
1357,2,Urban,137800000
2615,4,Suburb,261700000
2805,3,Rural,280650000
1197,4,Urban,121900000
1474,5,Rural,147650000
1186,4,Urban,120800000
2958,5,Urban,298050000
2864,2,Suburb,286500000
1683,2,Suburb,168400000
1340,5,Suburb,134250000
970,4,Suburb,97200000
1539,3,Rural,154050000
2201,5,Rural,220350000
918,4,Rural,92000000
2951,4,Suburb,295300000
2795,4,Urban,281700000
2505,3,Rural,250650000
2522,3,Suburb,252350000
2497,3,Suburb,249850000
2244,5,Suburb,224650000
2559,5,Rural,256150000
2324,3,Urban,234550000
1464,5,Rural,146650000
832,3,Suburb,83350000
2902,5,Suburb,290450000
2859,4,Suburb,286100000
2351,3,Rural,235250000
1519,5,Urban,154150000
1283,4,Rural,128500000
1772,4,Suburb,177400000
1106,5,Suburb,110850000
1256,4,Suburb,125800000
1130,2,Rural,113100000
1024,3,Rural,102550000
2279,3,Rural,228050000
1882,4,Suburb,188400000
1443,5,Rural,144550000
1415,2,Urban,143600000
994,5,Urban,101650000
1288,3,Urban,130950000
2049,4,Rural,205100000
1902,2,Suburb,190300000
1947,4,Suburb,194900000
2041,2,Suburb,204200000
1315,4,Suburb,131700000
2425,5,Suburb,242750000
1927,3,Rural,192850000
1192,4,Urban,121400000
1430,4,Rural,143200000
2647,2,Suburb,264800000
1779,5,Rural,178150000
1233,5,Rural,123550000
1077,2,Rural,107800000
1032,5,Suburb,103450000
2352,3,Suburb,235350000
2394,4,Suburb,239600000
1913,2,Rural,191400000
825,5,Rural,82750000
2217,3,Urban,223850000
1260,3,Urban,128150000
1891,5,Suburb,189350000
1806,5,Urban,182850000
2794,2,Suburb,279500000
1290,5,Suburb,129250000
1872,2,Rural,187300000
1015,4,Urban,103700000
2523,3,Suburb,252450000
2392,2,Suburb,239300000
958,3,Urban,97950000
1485,4,Urban,150700000
2576,5,Urban,259850000
2852,2,Urban,287300000
2643,5,Urban,266550000
2389,3,Urban,241050000
2496,2,Urban,251700000
2746,4,Suburb,274800000
2862,4,Rural,286400000
1945,5,Suburb,194750000
2381,4,Suburb,238300000
2732,4,Rural,273400000
2557,5,Rural,255950000
2850,5,Rural,285250000
1789,2,Urban,181000000
2341,2,Urban,236200000
1916,5,Urban,193850000
1292,3,Suburb,129350000
1419,3,Rural,142050000
2897,2,Rural,289800000
2346,2,Suburb,234700000
1662,5,Urban,168450000
2491,3,Rural,249250000
2405,5,Suburb,240750000
1379,2,Urban,140000000
2690,4,Suburb,269200000
2075,4,Urban,209700000
2655,4,Suburb,265700000
2155,5,Urban,217750000
1962,3,Suburb,196350000
1156,2,Suburb,115700000
2424,3,Suburb,242550000
2806,3,Suburb,280750000
1669,2,Rural,167000000
1685,3,Rural,168650000
2801,4,Rural,280300000
2213,2,Rural,221400000
2083,4,Suburb,208500000
1419,5,Rural,142150000
1682,4,Rural,168400000
1596,5,Suburb,159850000
2972,5,Rural,297450000
2096,2,Rural,209700000
1418,4,Urban,144000000
2634,4,Rural,263600000
1044,4,Urban,106600000
1729,2,Rural,173000000
2070,5,Suburb,207250000
1319,5,Rural,132150000
807,5,Suburb,80950000
2819,2,Rural,282000000
1294,2,Rural,129500000
2429,3,Suburb,243050000
1862,4,Suburb,186400000
986,5,Suburb,98850000
2677,3,Suburb,267850000
2940,3,Urban,296150000
885,4,Urban,90700000
936,2,Suburb,93700000
2921,3,Urban,294250000
2436,2,Rural,243700000
2551,2,Rural,255200000
2587,4,Rural,258900000
1671,3,Urban,169250000
1743,5,Urban,176550000
2426,3,Rural,242750000
1148,5,Suburb,115050000
2476,5,Rural,247850000
1996,2,Urban,201700000
809,5,Rural,81150000
2261,4,Rural,226300000
1466,3,Urban,148750000
2322,2,Urban,234300000
2976,2,Urban,299700000
1400,5,Urban,142250000
1126,2,Rural,112700000
1779,4,Urban,180100000
1428,4,Suburb,143000000
2429,2,Urban,245000000
1073,2,Urban,109400000
1484,4,Rural,148600000
915,5,Suburb,91750000
1660,2,Suburb,166100000
2803,5,Suburb,280550000
1492,2,Urban,151300000
1905,4,Rural,190700000
2961,2,Rural,296200000
2592,2,Urban,261300000
953,2,Suburb,95400000
2700,4,Suburb,270200000
2227,4,Rural,222900000
2089,4,Urban,211100000
1114,3,Suburb,111550000
1864,3,Urban,188550000
904,3,Rural,90550000
2724,3,Urban,274550000
2713,4,Urban,273500000
2016,2,Urban,203700000
2224,4,Urban,224600000
2572,3,Suburb,257350000
2760,5,Rural,276250000
2403,5,Suburb,240550000
1508,4,Suburb,151000000
1450,2,Suburb,145100000
1746,3,Suburb,174750000
1460,2,Rural,146100000
2946,2,Rural,294700000
1932,2,Suburb,193300000
1499,3,Urban,152050000
2838,4,Urban,286000000
1351,3,Urban,137250000
1204,3,Urban,122550000
1261,4,Urban,128300000
2979,4,Rural,298100000
1673,4,Urban,169500000
883,5,Rural,88550000
2222,5,Urban,224450000
1020,4,Urban,104200000
2191,2,Suburb,219200000
911,5,Suburb,91350000
1414,3,Suburb,141550000
2381,3,Rural,238250000
1274,5,Rural,127650000
2713,3,Suburb,271450000
1070,4,Suburb,107200000
2720,3,Urban,274150000
2190,5,Rural,219250000
839,2,Urban,86000000
2782,3,Urban,280350000
1793,3,Suburb,179450000
2812,2,Urban,283300000
1089,5,Urban,111150000
1078,2,Suburb,107900000
1380,3,Suburb,138150000
1662,5,Urban,168450000
1053,4,Urban,107500000
980,5,Urban,100250000
1480,5,Rural,148250000
1624,4,Urban,164600000
1499,5,Suburb,150150000
2149,3,Urban,217050000
2180,3,Rural,218150000
2473,3,Urban,249450000
2438,3,Rural,243950000
2757,4,Rural,275900000
1011,3,Suburb,101250000
2338,5,Urban,236050000
1183,2,Rural,118400000
2514,4,Urban,253600000
1141,4,Rural,114300000
2638,2,Suburb,263900000
2787,3,Suburb,278850000
1643,3,Urban,166450000
2334,5,Urban,235650000
1219,3,Urban,124050000
2788,3,Urban,280950000
2732,5,Urban,275450000
2649,3,Rural,265050000
1105,2,Urban,112600000
1668,3,Rural,166950000
1935,2,Rural,193600000
2234,2,Rural,223500000
1005,2,Urban,102600000
1295,3,Suburb,129650000
2709,3,Suburb,271050000
1845,4,Urban,186700000
1012,5,Urban,103450000
1109,5,Urban,113150000
2791,4,Rural,279300000
1071,2,Suburb,107200000
2622,5,Suburb,262450000
2879,4,Suburb,288100000
1242,2,Suburb,124300000
1053,4,Rural,105500000
1320,3,Urban,134150000
1776,3,Rural,177750000
809,2,Urban,83000000
2383,2,Urban,240400000
1934,3,Suburb,193550000
952,5,Suburb,95450000
2458,5,Urban,248050000
2656,3,Urban,267750000
2014,5,Suburb,201650000
2552,3,Suburb,255350000
1904,4,Suburb,190600000
1694,4,Suburb,169600000
1911,4,Suburb,191300000
903,5,Rural,90550000
2714,4,Rural,271600000
1806,2,Rural,180700000
1206,2,Suburb,120700000
2201,4,Urban,222300000
966,2,Urban,98700000
1308,4,Suburb,131000000
2461,4,Rural,246300000
1562,3,Urban,158350000
1480,4,Suburb,148200000
2920,2,Rural,292100000
1964,5,Rural,196650000
1381,4,Rural,138300000
1061,3,Rural,106250000
2163,2,Rural,216400000
2131,3,Rural,213250000
2338,4,Rural,234000000
1360,4,Rural,136200000
1899,4,Rural,190100000
2703,4,Rural,270500000
974,2,Suburb,97500000
2956,5,Urban,297850000
991,4,Suburb,99300000
864,3,Urban,88550000
2297,2,Suburb,229800000
2367,2,Urban,238800000
1951,2,Urban,197200000
2737,3,Urban,275850000
1168,5,Suburb,117050000
1650,3,Urban,167150000
842,3,Rural,84350000
2707,3,Urban,272850000
877,4,Suburb,87900000
2624,4,Suburb,262600000
2093,3,Rural,209450000
1473,3,Urban,149450000
1500,4,Suburb,150200000
1558,4,Urban,158000000
2723,5,Rural,272550000
1701,3,Rural,170250000
1792,2,Suburb,179300000
1991,5,Urban,201350000
2276,2,Rural,227700000
1189,5,Rural,119150000
1799,3,Suburb,180050000
1324,2,Rural,132500000
2655,4,Suburb,265700000
2306,5,Rural,230850000
1458,2,Rural,145900000
1690,5,Suburb,169250000
2281,3,Suburb,228250000
1251,2,Urban,127200000
2337,2,Rural,233800000
1682,2,Urban,170300000
1112,5,Urban,113450000
1639,4,Suburb,164100000
1174,4,Rural,117600000
1250,4,Suburb,125200000
1394,3,Rural,139550000
2033,2,Suburb,203400000
1299,4,Rural,130100000
1263,4,Urban,128500000
912,2,Rural,91300000
1835,3,Rural,183650000
2724,5,Suburb,272650000
939,5,Rural,94150000
2224,5,Rural,222650000
1316,2,Rural,131700000
2747,3,Rural,274850000
2965,2,Urban,298600000
1687,5,Suburb,168950000
2141,4,Rural,214300000
849,4,Suburb,85100000
818,4,Urban,84000000
1525,5,Urban,154750000
2273,3,Rural,227450000
1251,5,Suburb,125350000
1964,2,Suburb,196500000
1907,3,Suburb,190850000
1014,4,Urban,103600000
2349,3,Urban,237050000
927,3,Rural,92850000
2645,5,Suburb,264750000
1559,3,Suburb,156050000
2615,5,Urban,263750000
1160,2,Rural,116100000
1368,3,Rural,136950000
2215,3,Rural,221650000
2397,3,Urban,241850000
2492,4,Suburb,249400000
1001,5,Rural,100350000
2864,5,Rural,286650000
1317,4,Suburb,131900000
2148,5,Rural,215050000
2235,2,Urban,225600000
2141,4,Rural,214300000
1480,5,Suburb,148250000
2788,2,Urban,280900000
2291,5,Rural,229350000
1224,4,Suburb,122600000
2768,5,Suburb,277050000
2512,2,Suburb,251300000
1577,2,Suburb,157800000
2945,2,Rural,294600000
2626,5,Rural,262850000
1007,4,Urban,102900000
2337,5,Urban,235950000
2459,3,Suburb,246050000
821,4,Suburb,82300000
953,3,Urban,97450000
2762,5,Rural,276450000
1018,4,Rural,102000000
1468,3,Rural,146950000
2318,5,Suburb,232050000
2867,4,Urban,288900000
1749,2,Urban,177000000
2995,2,Urban,301600000
1202,2,Rural,120300000
1395,3,Urban,141650000
2237,3,Urban,225850000
1957,5,Rural,195950000
2542,2,Suburb,254300000
2106,3,Suburb,210750000
872,2,Rural,87300000
1280,5,Urban,130250000
1359,4,Suburb,136100000
1544,3,Suburb,154550000
2266,3,Suburb,226750000
899,4,Rural,90100000
1882,3,Suburb,188350000
1212,5,Urban,123450000
1888,3,Rural,188950000
1977,3,Rural,197850000
2808,4,Suburb,281000000
1620,5,Urban,164250000
1461,2,Rural,146200000
1359,2,Suburb,136000000
2071,4,Urban,209300000
2613,5,Urban,263550000
1409,4,Rural,141100000
824,4,Suburb,82600000
2828,2,Urban,284900000
1083,5,Rural,108550000
2272,5,Rural,227450000
1100,4,Rural,110200000
1891,2,Rural,189200000
1830,5,Rural,183250000
1616,4,Urban,163800000
882,3,Rural,88350000
2720,2,Suburb,272100000
2893,5,Suburb,289550000
1417,5,Urban,143950000
975,5,Rural,97750000
1989,2,Rural,199000000
1641,4,Urban,166300000
1169,3,Rural,117050000
2618,5,Rural,262050000
2901,2,Suburb,290200000
1489,5,Rural,149150000
2579,4,Urban,260100000
2164,3,Suburb,216550000
2232,5,Urban,225450000
1166,2,Urban,118700000
1443,4,Rural,144500000
872,3,Rural,87350000
2071,2,Suburb,207200000
1659,5,Urban,168150000
842,2,Urban,86300000
1864,3,Rural,186550000
2316,4,Urban,233800000
2886,4,Urban,290800000
1168,5,Urban,119050000
950,5,Urban,97250000
1934,5,Urban,195650000
2303,5,Suburb,230550000
2259,3,Urban,228050000
1870,5,Urban,189250000
1823,2,Suburb,182400000
2398,3,Rural,239950000
2840,3,Rural,284150000
2189,5,Suburb,219150000
868,3,Suburb,86950000
1743,2,Rural,174400000
1601,3,Urban,162250000
860,3,Urban,88150000
1745,2,Suburb,174600000
2137,2,Urban,215800000
1984,3,Suburb,198550000
1130,4,Rural,113200000
2351,3,Urban,237250000
1137,2,Rural,113800000
2429,2,Urban,245000000
2127,2,Urban,214800000
2326,4,Urban,234800000
2473,2,Suburb,247400000
2161,5,Rural,216350000
2373,5,Suburb,237550000
1074,4,Suburb,107600000
1987,2,Rural,198800000
2793,2,Rural,279400000
1669,5,Suburb,167150000
1814,5,Suburb,181650000
2711,3,Suburb,271250000
1402,4,Rural,140400000
2599,3,Suburb,260050000
1490,4,Rural,149200000
1293,2,Suburb,129400000
1289,2,Rural,129000000
1189,4,Suburb,119100000
1094,3,Urban,111550000
2192,5,Urban,221450000
2517,4,Rural,251900000
1448,4,Rural,145000000
2673,4,Urban,269500000
1367,2,Rural,136800000
1244,4,Rural,124600000
1162,2,Urban,118300000
2970,5,Suburb,297250000
2011,5,Rural,201350000
1541,3,Rural,154250000
2841,2,Suburb,284200000
1479,5,Suburb,148150000
2442,5,Rural,244450000
2372,3,Rural,237350000
2158,3,Suburb,215950000
2939,3,Rural,294050000
862,2,Suburb,86300000
1962,4,Suburb,196400000
2028,2,Rural,202900000
1055,3,Rural,105650000
934,4,Suburb,93600000
1674,5,Rural,167650000
1621,2,Suburb,162200000
2935,3,Urban,295650000
1622,3,Urban,164350000
1773,4,Suburb,177500000
2577,2,Suburb,257800000
920,5,Rural,92250000
2437,5,Suburb,243950000
2164,4,Suburb,216600000
1807,4,Rural,180900000
1724,5,Rural,172650000
1444,4,Urban,146600000
2832,4,Suburb,283400000
2868,2,Suburb,286900000
1041,4,Urban,106300000
2419,3,Suburb,242050000
1602,3,Rural,160350000
1763,3,Suburb,176450000
868,4,Rural,87000000
1952,5,Suburb,195450000
995,3,Urban,101650000
2987,2,Rural,298800000
1545,4,Rural,154700000
2488,5,Urban,251050000
1076,5,Rural,107850000
860,4,Urban,88200000
2713,4,Suburb,271500000
2899,2,Urban,292000000
2572,4,Suburb,257400000
2134,4,Rural,213600000
2637,5,Rural,263950000
1366,3,Urban,138750000
2371,3,Suburb,237250000
1421,5,Urban,144350000
2825,4,Rural,282700000
2000,2,Rural,200100000
1113,3,Suburb,111450000
2944,4,Suburb,294600000
2036,3,Rural,203750000
936,5,Rural,93850000
1829,3,Suburb,183050000
2956,5,Urban,297850000
1461,5,Urban,148350000
886,5,Suburb,88850000
2923,2,Suburb,292400000
2108,4,Suburb,211000000
2500,5,Rural,250250000
1294,5,Urban,131650000
2447,3,Suburb,244850000
2742,4,Urban,276400000
1868,2,Rural,186900000
2224,2,Rural,222500000
1396,3,Suburb,139750000
1249,2,Suburb,125000000
1284,3,Suburb,128550000
1445,4,Suburb,144700000
2429,3,Urban,245050000
1461,3,Suburb,146250000
1557,5,Urban,157950000
1088,2,Rural,108900000
1520,4,Rural,152200000
1437,4,Urban,145900000
1298,5,Urban,132050000
1433,3,Suburb,143450000
2473,4,Suburb,247500000
2830,4,Suburb,283200000
914,3,Rural,91550000
1473,3,Urban,149450000
2536,4,Urban,255800000
2057,3,Urban,207850000
946,2,Urban,96700000
2965,4,Suburb,296700000
1211,3,Suburb,121250000
2487,4,Urban,250900000
2332,4,Suburb,233400000
936,5,Rural,93850000
818,2,Suburb,81900000
2759,2,Rural,276000000
1801,5,Rural,180350000
1248,5,Urban,127050000
2748,4,Urban,277000000
1745,2,Suburb,174600000
2177,5,Urban,219950000
2322,3,Rural,232350000
940,4,Rural,94200000
2720,2,Suburb,272100000
892,4,Rural,89400000
1038,4,Urban,106000000
1004,3,Suburb,100550000
2256,3,Suburb,225750000
1044,5,Suburb,104650000
1631,3,Urban,165250000
1094,2,Rural,109500000
1655,5,Urban,167750000
2864,2,Suburb,286500000
870,2,Rural,87100000
2092,5,Suburb,209450000
2148,3,Urban,216950000
1104,4,Suburb,110600000
1830,3,Urban,185150000
2137,2,Suburb,213800000
1616,2,Suburb,161700000
1926,5,Suburb,192850000
1620,2,Urban,164100000
992,5,Urban,101450000
2576,5,Urban,259850000
1328,3,Urban,134950000
1050,2,Urban,107100000
2588,3,Rural,258950000
2826,4,Suburb,282800000
2203,3,Urban,222450000
1967,2,Rural,196800000
2872,4,Rural,287400000
1896,2,Suburb,189700000
2647,4,Suburb,264900000
1304,2,Suburb,130500000
2421,3,Urban,244250000
2187,2,Suburb,218800000
2022,5,Suburb,202450000
1517,5,Suburb,151950000
1138,3,Rural,113950000
1458,3,Urban,147950000
1761,4,Suburb,176300000
1228,3,Rural,122950000
1698,5,Urban,172050000
938,3,Suburb,93950000
1341,5,Rural,134350000
2904,3,Urban,292550000
2055,5,Suburb,205750000
1183,4,Suburb,118500000
993,2,Rural,99400000
2695,2,Suburb,269600000
1531,5,Rural,153350000
2963,3,Rural,296450000
1484,3,Rural,148550000
881,2,Urban,90200000
1331,5,Rural,133350000
2783,3,Urban,280450000
1020,2,Suburb,102100000
1434,5,Urban,145650000
2569,4,Rural,257100000
2674,3,Suburb,267550000
802,3,Rural,80350000
2517,5,Rural,251950000
1005,2,Suburb,100600000
2655,5,Rural,265750000
839,2,Urban,86000000
2906,5,Suburb,290850000
1443,4,Suburb,144500000
2330,3,Suburb,233150000
2707,2,Rural,270800000
2943,4,Rural,294500000
1697,5,Suburb,169950000
1885,2,Urban,190600000
2079,2,Rural,208000000
1470,4,Rural,147200000
2305,5,Rural,230750000
1518,4,Urban,154000000
1871,5,Rural,187350000
2755,4,Rural,275700000
1959,4,Urban,198100000
1049,4,Urban,107100000
2692,4,Rural,269400000
2653,5,Suburb,265550000
2303,3,Suburb,230450000
2034,4,Urban,205600000
843,5,Rural,84550000
1382,3,Urban,140350000
2088,2,Urban,210900000
1019,2,Suburb,102000000
2725,4,Urban,274700000
1790,2,Urban,181100000
2612,4,Rural,261400000
1657,4,Rural,165900000
1603,3,Urban,162450000
1289,2,Urban,131000000
2580,4,Rural,258200000
2293,2,Suburb,229400000
2505,3,Rural,250650000
853,2,Rural,85400000
1415,3,Rural,141650000
1882,3,Rural,188350000
2648,3,Rural,264950000
1754,4,Suburb,175600000
2429,5,Rural,243150000
1449,4,Rural,145100000
1194,2,Suburb,119500000
2159,4,Urban,218100000
1170,4,Suburb,117200000
1657,5,Rural,165950000
1590,2,Urban,161100000
1457,3,Suburb,145850000
2192,3,Urban,221350000
1183,2,Suburb,118400000
2909,4,Suburb,291100000
1038,5,Urban,106050000
994,5,Urban,101650000
2908,2,Urban,292900000
1952,2,Urban,197300000
2815,4,Rural,281700000
955,5,Suburb,95750000
1722,2,Rural,172300000
2409,4,Suburb,241100000
1774,4,Rural,177600000
2030,2,Rural,203100000
2614,5,Suburb,261650000
1637,3,Rural,163850000
2807,4,Urban,282900000
2163,3,Urban,218450000
1003,4,Rural,100500000
960,5,Rural,96250000
1191,3,Suburb,119250000
1568,2,Suburb,156900000
1893,4,Rural,189500000
1204,2,Suburb,120500000
1407,2,Urban,142800000
2414,5,Urban,243650000
2340,2,Urban,236100000
2637,4,Suburb,263900000
1489,2,Suburb,149000000
2040,2,Suburb,204100000
2903,4,Suburb,290500000
1165,2,Rural,116600000
2522,5,Rural,252450000
1254,4,Rural,125600000
903,5,Rural,90550000
876,2,Urban,89700000
1029,3,Suburb,103050000
2737,5,Urban,275950000
2005,5,Suburb,200750000
1692,2,Rural,169300000
2373,3,Urban,239450000
2874,4,Suburb,287600000
2475,3,Rural,247650000
1098,4,Suburb,110000000
1756,2,Suburb,175700000
1914,3,Rural,191550000
2274,2,Urban,229500000
1164,5,Suburb,116650000
2498,3,Rural,249950000
1150,4,Suburb,115200000
2704,5,Suburb,270650000
1811,4,Suburb,181300000
1298,5,Urban,132050000
1749,4,Urban,177100000
2794,4,Urban,281600000
2846,2,Urban,286700000
1307,5,Rural,130950000
2127,2,Urban,214800000
965,2,Suburb,96600000
1719,2,Rural,172000000
913,2,Suburb,91400000
1791,4,Urban,181300000
2751,2,Suburb,275200000
2058,2,Suburb,205900000
1314,2,Suburb,131500000
2031,4,Suburb,203300000
1508,5,Urban,153050000
2985,4,Suburb,298700000
1138,4,Suburb,114000000
867,4,Suburb,86900000
2396,5,Suburb,239850000
2364,2,Urban,238500000
1182,2,Suburb,118300000
818,5,Rural,82050000
2921,5,Rural,292350000
1372,3,Suburb,137350000
2099,2,Suburb,210000000
2743,4,Urban,276500000
1450,4,Rural,145200000
2445,2,Urban,246600000
1793,5,Suburb,179550000
2138,3,Rural,213950000
1700,4,Rural,170200000
2484,3,Urban,250550000
2385,4,Suburb,238700000
2723,4,Rural,272500000
2581,2,Urban,260200000
1936,4,Rural,193800000
2744,3,Suburb,274550000
1837,3,Suburb,183850000
2538,2,Suburb,253900000
1087,4,Urban,110900000
2390,3,Suburb,239150000
2545,5,Urban,256750000
1898,2,Rural,189900000
1739,5,Suburb,174150000
2248,3,Urban,226950000
1370,5,Urban,139250000
1800,2,Urban,182100000
2005,5,Suburb,200750000
1717,3,Urban,173850000
2674,5,Suburb,267650000
1632,5,Suburb,163450000
2478,5,Rural,248050000
1415,4,Rural,141700000
1205,3,Suburb,120650000
2549,5,Rural,255150000
892,3,Urban,91350000
1453,5,Suburb,145550000
1233,2,Rural,123400000
1935,2,Urban,195600000
1174,2,Suburb,117500000
1866,5,Urban,188850000
1006,3,Suburb,100750000
1579,2,Rural,158000000
2119,4,Urban,214100000
1941,2,Rural,194200000
1331,2,Urban,135200000
889,4,Urban,91100000
1917,2,Urban,193800000
812,5,Urban,83450000
2657,5,Rural,265950000
1604,2,Urban,162500000
1744,3,Rural,174550000
2657,3,Urban,267850000
2410,2,Suburb,241100000
2759,4,Suburb,276100000
1852,5,Urban,187450000
1095,5,Suburb,109750000
1725,5,Urban,174750000
1439,2,Rural,144000000
1427,5,Suburb,142950000
1967,2,Urban,198800000
1741,2,Urban,176200000
1629,3,Rural,163050000
2570,4,Rural,257200000
1775,4,Urban,179700000
1754,4,Urban,177600000
2062,5,Urban,208450000
1751,3,Urban,177250000
1743,3,Urban,176450000
2004,2,Urban,202500000
2935,3,Rural,293650000
2334,2,Suburb,233500000
1896,3,Urban,191750000
978,2,Urban,99900000
2628,5,Rural,263050000
2057,3,Suburb,205850000
1264,4,Rural,126600000
2574,2,Rural,257500000
2030,3,Urban,205150000
1684,3,Urban,170550000
2132,2,Rural,213300000
2454,3,Urban,247550000
1744,4,Urban,176600000
1724,2,Urban,174500000
2738,2,Suburb,273900000
1293,2,Suburb,129400000
2346,2,Urban,236700000
2769,2,Rural,277000000
1894,4,Suburb,189600000
2625,2,Rural,262600000
1562,4,Urban,158400000
849,4,Rural,85100000
1705,4,Rural,170700000
1363,2,Suburb,136400000
1582,4,Rural,158400000
2840,2,Rural,284100000
2631,4,Suburb,263300000
1383,2,Urban,140400000
2119,3,Rural,212050000
1035,3,Urban,105650000
2903,4,Urban,292500000
2742,5,Urban,276450000
1159,5,Suburb,116150000
2730,3,Urban,275150000
909,4,Rural,91100000
991,4,Urban,101300000
1703,4,Urban,172500000
1916,5,Urban,193850000
1661,3,Rural,166250000
1883,4,Urban,190500000
1449,3,Urban,147050000
838,3,Urban,85950000
1436,2,Suburb,143700000
1836,5,Rural,183850000
835,3,Suburb,83650000
2948,2,Rural,294900000
2161,5,Urban,218350000
2783,4,Rural,278500000
965,4,Rural,96700000
2679,2,Rural,268000000
830,4,Rural,83200000
810,2,Suburb,81100000
2811,2,Rural,281200000
2943,4,Suburb,294500000
1285,5,Suburb,128750000
2089,2,Urban,211000000
2247,5,Rural,224950000
2743,5,Urban,276550000
2763,2,Rural,276400000
2651,5,Suburb,265350000
2269,2,Suburb,227000000
2166,4,Suburb,216800000
1790,4,Rural,179200000
1624,4,Rural,162600000
2262,4,Rural,226400000
2953,4,Rural,295500000
1025,5,Rural,102750000
1576,5,Urban,159850000
1912,5,Rural,191450000
1487,3,Urban,150850000
1329,3,Rural,133050000
1771,2,Rural,177200000
1735,3,Rural,173650000
2222,4,Rural,222400000
2953,4,Suburb,295500000
2094,4,Suburb,209600000
2798,2,Urban,281900000
2326,2,Urban,234700000
1478,2,Rural,147900000
839,2,Rural,84000000
1905,5,Rural,190750000
1644,2,Rural,164500000
2543,2,Suburb,254400000
1246,3,Urban,126750000
2034,5,Urban,205650000
2150,4,Urban,217200000
1026,3,Suburb,102750000
847,2,Rural,84800000
2262,4,Suburb,226400000
2630,4,Suburb,263200000
986,4,Urban,100800000
2732,3,Suburb,273350000
1648,5,Urban,167050000
2832,5,Suburb,283450000
2052,4,Urban,207400000
2213,2,Urban,223400000
1778,5,Rural,178050000
2412,5,Urban,243450000
1816,2,Suburb,181700000
2681,3,Urban,270250000
1069,3,Suburb,107050000
2430,2,Urban,245100000
1109,3,Rural,111050000
2843,4,Rural,284500000
